,Valpo,"CORE 105 University Writing 3+2, 4 Cr "," An introductory course designed to help undergraduates read and write essays in order to participate in the academic conversations that form Valparaiso’s intellectual community. While engaging with pieces of Western Literature, the course gives special attention to the practices of close reading, rhetorical analysis, collaboration, and substantive revision. By writing multiple drafts of essays typically ranging from three to ten pages, students will learn that writing is a process of forming and refining their ideas and their prose. The course teaches writing as a unique skill that can be practiced and developed. "
,Valpo,"CORE 110 The Human Experience 4 Cr "," A writing-intensive interdisciplinary course that initiates first year students into the VU academic community by exploring significant themes in human experience, engaging students with resources from the areas of history, theology, philosophy, literature, and the arts. It is a core experience extending for two semesters, 4 credits each semester, in seminar sections of about 20 students. It is taught by a trained core faculty from areas across the University, the faculty meeting regularly to promote extensive collaborative activity for both faculty and students. Prerequisite: Appropriate IELTS/TOEFL/SAT/ACT score or CORE 105. "
,Valpo,"CORE 115 The Human Experience 4 Cr "," A writing-intensive interdisciplinary course that initiates first year students into the VU academic community by exploring significant themes in human experience, engaging students with resources from the areas of history, theology, philosophy, literature, and the arts. It is a core experience extending for two semesters, 4 credits each semester, in seminar sections of about 20 students. It is taught by a trained core faculty from areas across the University, the faculty meeting regularly to promote extensive collaborative activity for both faculty and students. Prerequisite: CORE 110 or CC 110. "
,Valpo,"CORE 405 University Writing: Peer Tutoring 1+2, 2 Cr "," A course for students serving as peer tutors in CORE 105. Peer tutors will learn to assist other students in learning to read and write college-level essays, while refining their own abilities in the practices of close reading, rhetorical analysis, collaboration, and substantive revision. Instructor approval required. S/U grade only. "
,Valpo,"CPED 381 Cooperative Education I 0.5-3 Cr "," This course is a prearranged, approved, professional work experience with a cooperating employer. A written report is required of each student. The prerequisites are one year in residence, a minimum cumulative grade point average of 2.500, and the approval of the coordinator of cooperative education. "
,Valpo,"CPED 382 Cooperative Education II 0.5-3 Cr "," The prerequisites for additional cooperative education experiences are the same as for CPED 381, plus positive work performance evaluations by the previous cooperative employer(s). "
,Valpo,"CPED 383 Cooperative Education III 0.5-3 Cr "," The prerequisites for additional cooperative education experiences are the same as for CPED 381, plus positive work performance evaluations by the previous cooperative employer(s). This course may be repeated beyond 383 for additional credit, subject to the guidelines of the college, as stated above. "
,Valpo,"GS 100 Strategies for Academic Success 1 Cr "," A seminar designed to offer skill development and student success strategies that will enhance and promote academic achievement. Course topics include effective use of study time and learning strategies (active reading, note taking, organizing, memory techniques), test preparation (study plans), test-taking techniques, time management, overcoming procrastination, goal setting, motivation, decision making, developing a strength-based mindset, and using academic support resources on campus. The course meets over a 14-week or 7-week period, depending on the section. "
,Valpo,"GS 105 Transitioning to Valpo for International Students 1 Cr "," A seminar designed to offer success strategies and skill development (especially in writing and speaking English) for international students new to living and studying in the U.S. Readings, writings, discussions, and activities in the course will provide support for students’ successful integration into campus culture while maintaining cultural identity. Course topics include transitioning to the U.S. academic, social, and political culture, thinking independently and creatively, learning about academic honesty, meeting academic challenges, understanding University policies and procedures, using campus resources, getting involved in campus activities, participating in class, and interacting with professors. A 7-week course offered in both fall and spring semesters. "
,Valpo,"GS 106 English Conversation Partners 1 Cr "," This full-term course is designed for international students who will engage in cross-cultural conversations in groups of two or three with domestic/native English speaking students enrolled in GS 180. Students will gain experience in language skills, speech behaviors, cultural knowledge, and socialization. Requirements include a minimum number of conversation hours as well as a written reflection. Permission of the instructor is required. S/U grade. May be repeated for up to 2 total credits. International Students only. "
,Valpo,"GS 150 Exploratory Studies 2 Cr "," This course will focus on three areas: an analysis of students’ personal strengths, interests, beliefs, and values; a concentrated exploration of academic majors; and an introduction to career exploration and preparedness. Study and discussion of texts and films along with informal and formal writing will help students as they are guided to discern possible academic, career, and vocational pathways. This course will be required of all exploratory students in the first semester of their freshman year; any freshman or sophomore student may elect to take the course. "
,Valpo,"GS 180 Civic Engagement 1-2 Cr "," This course recognizes student volunteer service work for the community. Students earn the credit by completing a specific project, which may be initiated as part of a particular course, through a recognized University service organization, or independently. If students undertake the project through a service organization or independently, a professor must certify the project as appropriate, supervise its completion, and assign the grade. Students must file a proposal with the supervising professor and register for the credit. The proposal must present a detailed overview of the work of the project, which must entail a substantial time commitment (a minimum of 45 hours of work is required for each credit), and identify a written reflection component specifically related to the project. Students may not earn additional GS credit for work already required by the service-learning component of a course. Internship students may earn GS credit through an additional project, with the consent of the instructor. S/U grade. This course may be repeated for up to 3 total credits. "
,Valpo,"GS 200 Study Circle on Race Relations 2 Cr "," This course will offer 8-20 students the opportunity to engage in a series of participatory, democratic discussions about race relations on campus and in society. In addition, students will learn how to become involved in improving human relations by developing and implementing an 'action plan' component that involves collaborative, practical strategies that improve race and ethnic relations on campus and in our community. The instructor(s) for the course will serve as facilitator(s), establishing ground rules for a safe, focused discussion in which participants can exchange ideas freely and consider a variety of views about race relations in America. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity component of the General Education Requirements. "
,Valpo,"GS 201 Facilitator Training for Study Circles 1 Cr "," This course will be offered to students who have completed GS 200 and who want to become facilitators for Study Circles on Race Relations. By taking this course, students will understand what a study circle is, learn about specific study circle programs, understand the role of a facilitator, and practice the basic skills needed to be an effective study circle leader. There will be weekly readings and reflection papers as well as an end of the term report. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity component of the General Education Requirements. Prerequisite: GS 200. "
,Valpo,"GS 202 Study Circles on Race Relations: Civic Engagement 1 Cr "," This course will be offered to students who have completed GS 200 and who want to continue to work on community race relations issues initiated in GS 200. Students earn the credit by expanding the scope of the GS 200 action plan. Students must file a proposal with one of the co-directors of the Study Circles program and identify a written reflection component specifically related to the project, in order to register for the course. The proposal must present a detailed overview of the work of the project. A minimum of 20 hours of work is required. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity course component of the General Education Requirements. Prerequisite: GS 200. "
,Valpo,"GS 220 Contemporary Issues in Philanthropy and Service 3 Cr "," This course examines current trends and challenges in the fields of philanthropy, service, and non-profit leadership. Topics may include the rise in social enterprises, venture philanthropy, micro-lending, and the influence of technology on giving patterns. The course will also emphasize the shifting roles and relationships of the private, public, and non-profit sectors in meeting social needs and leading social change. Prerequisite: Core 115, CC 115, or permission of the instructor. "
,Valpo,"GS 386 Internship 1-6 Cr "," Students may arrange, in consultation with a dean in the College of Arts and Sciences, for an experiential-learning work opportunity in a supervised internship. Midterm progress report and final report required. Proposals for General Studies internships must be approved by the dean of the college. Limited to internship credit that does not meet the requirements for internship credit in a disciplinary curriculum. S/U Grade only. "
,Valpo,"GS 390 General Topics 1-3 Cr "," A course on a specialized topic that may not fit conveniently within a particular department, or that may be interdisciplinary in nature. "
,Valpo,"GS 390 Topics in English Life and Culture 3 Cr "," A study of selected aspects of English life and culture. Topics might include, but are not restricted to politics, education, religion, business, environment, and multicultural issues. Cambridge Center only. "
,Valpo,"GS 390 Topics in German Life and Culture 3 Cr "," A study of selected aspects of German life and culture. Topics might include, but are not restricted to politics, education, religion, business, environment, and multicultural issues. Reutlingen Center only. "
